id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
116005074,2022/05/07 6:18 PM,2022-05-07,2022-05-07 21:18:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:29 UTC,2022-05-08 15:55:18 UTC,needs_id,CC0,https://www.inaturalist.org/observations/116005074,https://inaturalist-open-data.s3.amazonaws.com/photos/195783718/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301083333,-56.7172666667,20,,,,20,,,false,,,Oreja de gato,Tradescantia fluminensis,Oreja de gato,Plantae,79382,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia fluminensis,
116005075,2022/05/07 6:16 PM,2022-05-07,2022-05-07 21:16:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:29 UTC,2022-05-08 15:54:25 UTC,needs_id,CC0,https://www.inaturalist.org/observations/116005075,https://inaturalist-open-data.s3.amazonaws.com/photos/195783755/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301083333,-56.7172666667,20,,,,20,,open,false,,,Tala,Celtis tala,Tala,Plantae,279210,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tala,
116005078,2022/05/07 6:14 PM,2022-05-07,2022-05-07 21:14:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:30 UTC,2022-05-08 23:01:34 UTC,research,CC0,https://www.inaturalist.org/observations/116005078,https://inaturalist-open-data.s3.amazonaws.com/photos/195783781/medium.jpeg,,"",,2,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301233333,-56.71701,20,,,,20,,,false,,,Chinese privet,Ligustrum sinense,Ligustrina,Plantae,128769,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Ligustrum,Ligustrum sinense,
116005079,2022/05/07 6:12 PM,2022-05-07,2022-05-07 21:12:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:30 UTC,2022-05-10 00:34:54 UTC,research,CC0,https://www.inaturalist.org/observations/116005079,https://inaturalist-open-data.s3.amazonaws.com/photos/195783864/medium.jpeg,,"",,4,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301233333,-56.71701,20,,,,20,,open,false,,,Perico Monje Argentino,Myiopsitta monachus,Cotorra,Aves,19349,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Myiopsitta,Myiopsitta monachus,
116005080,2022/05/07 6:13 PM,2022-05-07,2022-05-07 21:13:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:31 UTC,2022-05-08 01:04:41 UTC,research,CC0,https://www.inaturalist.org/observations/116005080,https://inaturalist-open-data.s3.amazonaws.com/photos/195783941/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301233333,-56.71701,20,,,,20,,open,false,,,tree privet,Ligustrum lucidum,Ligustro,Plantae,77740,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Ligustrum,Ligustrum lucidum,
116005083,2022/05/07 6:10 PM,2022-05-07,2022-05-07 21:10:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:31 UTC,2022-05-08 23:00:31 UTC,research,CC0,https://www.inaturalist.org/observations/116005083,https://inaturalist-open-data.s3.amazonaws.com/photos/195784002/medium.jpeg,,"",,2,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301233333,-56.71701,20,,,,20,,,false,,,Miniature Grape Ivy,Cissus striata,Uvita del diablo,Plantae,400851,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Cissus,Cissus striata,
116005084,2022/05/07 6:10 PM,2022-05-07,2022-05-07 21:10:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:32 UTC,2022-05-08 02:10:19 UTC,research,CC0,https://www.inaturalist.org/observations/116005084,https://inaturalist-open-data.s3.amazonaws.com/photos/195784018/medium.jpeg,,"",,2,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.32999,-56.71695,20,,,,20,,,false,,,Salvia amarga,Austroeupatorium inulifolium,Salvia amarga,Plantae,859233,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Austroeupatorium,Austroeupatorium inulifolium,
116005085,2022/05/07 6:11 PM,2022-05-07,2022-05-07 21:11:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:32 UTC,2022-05-08 15:53:29 UTC,needs_id,CC0,https://www.inaturalist.org/observations/116005085,https://inaturalist-open-data.s3.amazonaws.com/photos/195783939/medium.jpeg,,"",,1,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3301233333,-56.71701,20,,,,20,,,false,,,Dedos de muerto,Xylaria,Dedos de muerto,Fungi,55268,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,,
116005087,2022/05/07 6:09 PM,2022-05-07,2022-05-07 21:09:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:33 UTC,2022-05-08 15:53:15 UTC,research,CC0,https://www.inaturalist.org/observations/116005087,https://inaturalist-open-data.s3.amazonaws.com/photos/195784166/medium.jpeg,,"",,2,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3297478172,-56.7171757624,20,,,,20,,,false,,,Chaptalia arechavaletae,Chaptalia arechavaletae,,Plantae,711078,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chaptalia,Chaptalia arechavaletae,
116005088,2022/05/07 6:20 PM,2022-05-07,2022-05-07 21:20:00 UTC,Montevideo,736016,flo_grattarola,2022-05-08 00:42:33 UTC,2022-05-08 02:09:59 UTC,research,CC0,https://www.inaturalist.org/observations/116005088,https://inaturalist-open-data.s3.amazonaws.com/photos/195784503/medium.jpeg,,"",,2,0,false,,"80000 San José, Departamento de San José, Uruguay",-34.3297478172,-56.7171757624,20,,,,20,,,false,,,hierba gallinera,Stellaria media,hierba gallinera,Plantae,53298,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,Stellaria media,
